Input First                 Input Second                MergeTime[s]                SuccesiveAddTime[s]         
romeo_juliet.txt            merchant.txt                0.00067                     0.00187                     
romeo_juliet.txt            macbeth.txt                 0.00058                     0.00175                     
romeo_juliet.txt            john.txt                    0.00062                     0.00190                     
romeo_juliet.txt            2henryvi.txt                0.00066                     0.00225                     
romeo_juliet.txt            2henryiv.txt                0.00068                     0.00234                     
romeo_juliet.txt            henryv.txt                  0.00072                     0.00253                     
romeo_juliet.txt            merry_wives.txt             0.00059                     0.00174                     
romeo_juliet.txt            midsummer.txt               0.00055                     0.00157                     
lear.txt                    3henryvi.txt                0.00077                     0.00217                     
lear.txt                    twelfth_night.txt           0.00074                     0.00187                     
lear.txt                    romeo_juliet.txt            0.00096                     0.00243                     
lear.txt                    hamlet.txt                  0.00094                     0.00324                     
lear.txt                    measure.txt                 0.00079                     0.00210                     
lear.txt                    asyoulikeit.txt             0.00074                     0.00197                     
lear.txt                    troilus_cressida.txt        0.00086                     0.00260                     
lear.txt                    taming_shrew.txt            0.00074                     0.00191                     
lear.txt                    coriolanus.txt              0.00089                     0.00259                     
lear.txt                    henryviii.txt               0.00095                     0.00270                     
lear.txt                    two_gentlemen.txt           0.00065                     0.00157                     
lear.txt                    cleopatra.txt               0.00083                     0.00236                     
lear.txt                    pericles.txt                0.00075                     0.00195                     
lear.txt                    richardiii.txt              0.00084                     0.00257                     
lear.txt                    timon.txt                   0.00083                     0.00213                     
lear.txt                    lll.txt                     0.00078                     0.00228                     
lear.txt                    comedy_errors.txt           0.00062                     0.00145                     
lear.txt                    richardii.txt               0.00089                     0.00246                     
lear.txt                    julius_caesar.txt           0.00068                     0.00171                     
lear.txt                    allswell.txt                0.00078                     0.00269                     
lear.txt                    winters_tale.txt            0.00082                     0.00287                     
lear.txt                    1henryvi.txt                0.00085                     0.00237                     
lear.txt                    tempest.txt                 0.00071                     0.00187                     
lear.txt                    cymbeline.txt               0.00087                     0.00380                     
lear.txt                    othello.txt                 0.00083                     0.00343                     
lear.txt                    titus.txt                   0.00077                     0.00299                     
lear.txt                    much_ado.txt                0.00071                     0.00258                     
lear.txt                    1henryiv.txt                0.00091                     0.00361                     
lear.txt                    merchant.txt                0.00080                     0.00321                     
lear.txt                    macbeth.txt                 0.00075                     0.00332                     
lear.txt                    john.txt                    0.00082                     0.00518                     
lear.txt                    2henryvi.txt                0.00077                     0.00231                     
lear.txt                    2henryiv.txt                0.00080                     0.00253                     
lear.txt                    henryv.txt                  0.00082                     0.00265                     
lear.txt                    merry_wives.txt             0.00068                     0.00178                     
lear.txt                    midsummer.txt               0.00067                     0.00163                     
hamlet.txt                  3henryvi.txt                0.00085                     0.00224                     
hamlet.txt                  twelfth_night.txt           0.00081                     0.00197                     
hamlet.txt                  romeo_juliet.txt            0.00083                     0.00238                     
hamlet.txt                  lear.txt                    0.00104                     0.00287                     
hamlet.txt                  measure.txt                 0.00081                     0.00210                     
hamlet.txt                  asyoulikeit.txt             0.00080                     0.00236                     
hamlet.txt                  troilus_cressida.txt        0.00096                     0.00283                     
hamlet.txt                  taming_shrew.txt            0.00077                     0.00217                     
hamlet.txt                  coriolanus.txt              0.00090                     0.00257                     
hamlet.txt                  henryviii.txt               0.00084                     0.00239                     
hamlet.txt                  two_gentlemen.txt           0.00074                     0.00175                     
hamlet.txt                  cleopatra.txt               0.00088                     0.00249                     
hamlet.txt                  pericles.txt                0.00077                     0.00203                     
hamlet.txt                  richardiii.txt              0.00089                     0.00256                     
hamlet.txt                  timon.txt                   0.00089                     0.00239                     
hamlet.txt                  lll.txt                     0.00091                     0.00324                     
hamlet.txt                  comedy_errors.txt           0.00068                     0.00157                     
hamlet.txt                  richardii.txt               0.00086                     0.00229                     
hamlet.txt                  julius_caesar.txt           0.00075                     0.00176                     
hamlet.txt                  allswell.txt                0.00083                     0.00258                     
hamlet.txt                  winters_tale.txt            0.00090                     0.00241                     
hamlet.txt                  1henryvi.txt                0.00087                     0.00255                     
hamlet.txt                  tempest.txt                 0.00078                     0.00230                     
hamlet.txt                  cymbeline.txt               0.00091                     0.00272                     
hamlet.txt                  othello.txt                 0.00088                     0.00237                     
hamlet.txt                  titus.txt                   0.00079                     0.00210                     
hamlet.txt                  much_ado.txt                0.00078                     0.00193                     
hamlet.txt                  1henryiv.txt                0.00089                     0.00248                     
hamlet.txt                  merchant.txt                0.00079                     0.00200                     
hamlet.txt                  macbeth.txt                 0.00073                     0.00192                     
hamlet.txt                  john.txt                    0.00070                     0.00199                     
hamlet.txt                  2henryvi.txt                0.00075                     0.00239                     
hamlet.txt                  2henryiv.txt                0.00083                     0.00247                     
hamlet.txt                  henryv.txt                  0.00083                     0.00262                     
hamlet.txt                  merry_wives.txt             0.00067                     0.00204                     
hamlet.txt                  midsummer.txt               0.00063                     0.00171                     
measure.txt                 3henryvi.txt                0.00070                     0.00201                     
measure.txt                 twelfth_night.txt           0.00066                     0.00177                     
measure.txt                 romeo_juliet.txt            0.00072                     0.00211                     
measure.txt                 lear.txt                    0.00079                     0.00248                     
measure.txt                 hamlet.txt                  0.00085                     0.00286                     
measure.txt                 asyoulikeit.txt             0.00067                     0.00214                     
measure.txt                 troilus_cressida.txt        0.00079                     0.00254                     
measure.txt                 taming_shrew.txt            0.00066                     0.00186                     
measure.txt                 coriolanus.txt              0.00082                     0.00284                     
measure.txt                 henryviii.txt               0.00075                     0.00221                     
measure.txt                 two_gentlemen.txt           0.00060                     0.00149                     
measure.txt                 cleopatra.txt               0.00084                     0.00250                     
measure.txt                 pericles.txt                0.00068                     0.00185                     
measure.txt                 richardiii.txt              0.00075                     0.00262                     
measure.txt                 timon.txt                   0.00068                     0.00189                     
measure.txt                 lll.txt                     0.00071                     0.00223                     
measure.txt                 comedy_errors.txt           0.00056                     0.00136                     
measure.txt                 richardii.txt               0.00071                     0.00228                     
measure.txt                 julius_caesar.txt           0.00060                     0.00162                     
measure.txt                 allswell.txt                0.00071                     0.00199                     
measure.txt                 winters_tale.txt            0.00078                     0.00231                     
measure.txt                 1henryvi.txt                0.00093                     0.00294                     
measure.txt                 tempest.txt                 0.00072                     0.00213                     
measure.txt                 cymbeline.txt               0.00086                     0.00318                     
measure.txt                 othello.txt                 0.00082                     0.00266                     
measure.txt                 titus.txt                   0.00074                     0.00239                     
measure.txt                 much_ado.txt                0.00058                     0.00183                     
measure.txt                 1henryiv.txt                0.00071                     0.00242                     
measure.txt                 merchant.txt                0.00061                     0.00201                     
measure.txt                 macbeth.txt                 0.00060                     0.00199                     
measure.txt                 john.txt                    0.00065                     0.00222                     
measure.txt                 2henryvi.txt                0.00071                     0.00258                     
measure.txt                 2henryiv.txt                0.00071                     0.00246                     
measure.txt                 henryv.txt                  0.00080                     0.00292                     
measure.txt                 merry_wives.txt             0.00064                     0.00208                     
measure.txt                 midsummer.txt               0.00066                     0.00227                     
asyoulikeit.txt             3henryvi.txt                0.00091                     0.00271                     
asyoulikeit.txt             twelfth_night.txt           0.00087                     0.00230                     
asyoulikeit.txt             romeo_juliet.txt            0.00079                     0.00244                     
asyoulikeit.txt             lear.txt                    0.00093                     0.00297                     
asyoulikeit.txt             hamlet.txt                  0.00103                     0.00327                     
asyoulikeit.txt             measure.txt                 0.00084                     0.00218                     
asyoulikeit.txt             troilus_cressida.txt        0.00097                     0.00274                     
asyoulikeit.txt             taming_shrew.txt            0.00081                     0.00209                     
asyoulikeit.txt             coriolanus.txt              0.00091                     0.00264                     
asyoulikeit.txt             henryviii.txt               0.00085                     0.00216                     
asyoulikeit.txt             two_gentlemen.txt           0.00075                     0.00170                     
asyoulikeit.txt             cleopatra.txt               0.00091                     0.00240                     
asyoulikeit.txt             pericles.txt                0.00085                     0.00240                     
